g.pnum,c.name,r.name,e.evidence,d.evidence
10SK12,The late Retired Emperor's villa,The late Retired Emperor's villa,"Genji, weeping, replies, gazing at the frozen pond (Washburn NC p. 199).","Heard by Prince Hyōbu, present at the late Retired Emperor's villa; co-present."
10SK13,The late Retired Emperor's villa,The late Retired Emperor's villa,"At the late Retired Emperor’s villa, before the snow-laden pine, Ōmyōbu adds a verse of her own among those exchanged there (Washburn NC p. 199); co-present.",Heard by those present at the late Retired Emperor's villa; co-present.
10SK14,The palace (the passageway near the Kokiden),The palace (the passageway near the Kokiden),"At a dawn tryst in the palace passageway where they first met, a guard's voice marks the hour and Oborozukiyo composes (Washburn NC pp. 201–202).","Heard by Genji, present at the palace; co-present."
10SK15,The palace (the passageway near the Kokiden),The palace (the passageway near the Kokiden),"In the passageway near the Kokiden, at their dawn tryst, Genji answers Oborozukiyo in person as he must leave (Washburn NC p. 202); co-present.","Heard by Oborozukiyo, present at the palace; co-present."
10SK16,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"Having forced his way to her and hidden through her seizure, Genji at dawn laments his fate at Fujitsubo's family residence on Sanjō (Washburn NC p. 204).","Heard by Fujitsubo, present; co-present."
10SK17,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"At Fujitsubo’s family residence on Sanjō, to which she has withdrawn, she answers Genji in person, brushing his words aside (Washburn NC p. 204); co-present.","Heard by Genji, present at Fujitsubo's Sanjō residence; co-present."
10SK18,The Urin'in Temple (north of the capital),Nijō (Genji's villa),"On retreat at the Urin'in, Genji sends Murasaki a letter on Michinokuni paper with the verse (Washburn NC p. 207).",Murasaki weeps as she reads it at Nijō (Washburn NC p. 207).
10SK19,Nijō (Genji's villa),The Urin'in Temple (north of the capital),"Murasaki ""sent her reply, which consisted of a single poem written on white paper"" from Nijō (Washburn NC p. 207).",Carried back to Genji at the Urin'in.
10SK20,The Urin'in Temple (north of the capital),The Kamo Shrine,"From the nearby Urin'in, Genji sends a sakaki-branch letter to the Kamo Priestess, Asagao, via her attendant Chūjō (Washburn NC pp. 207–208).",Conveyed to Asagao at the Kamo Shrine.
10SK21,The Kamo Shrine,The Urin'in Temple (north of the capital),Asagao replies on a strip of mulberry-bark cloth from the Kamo Shrine (Washburn NC p. 208).,Carried back to Genji at the Urin'in.
10SK22,The palace (Fujitsubo's withdrawal),The palace (Fujitsubo's withdrawal),"The night Fujitsubo withdraws from the palace after visiting the Crown Prince, she has Ōmyōbu take a poem to Genji, who is close by (Washburn NC p. 211).","Read by Genji, present at the palace; co-present."
10SK23,The palace (Fujitsubo's withdrawal),The palace (Fujitsubo's withdrawal),"At the palace, on the night of Fujitsubo’s withdrawal, Genji — in attendance close by — replies through Ōmyōbu (Washburn NC p. 211); co-present.","Conveyed to Fujitsubo at the palace, close by; co-present."
10SK24,The palace (Oborozukiyo's quarters),Nijō (Genji's villa),"As the early winter rains near, Genji ""received a poem from her"" (Washburn NC pp. 211–212). Composition location inferred from context — Oborozukiyo writes ""secretly in this melancholy season"" from her palace quarters (the Kokiden, Washburn NC p. 210); her exact spot is not stated.","Received by Genji at his villa — ""the cabinet where he stored his writing implements,"" ""the women who were in service to him"" (Washburn NC p. 212); he has her messenger wait and selects fine paper."
10SK25,Nijō (Genji's villa),The palace (Oborozukiyo's quarters),"Genji writes a careful reply on ""Chinese paper from the cabinet where he stored his writing implements,"" among ""the women who were in service to him"" at his Nijō villa (Washburn NC p. 212).",Carried back to Oborozukiyo. Receipt location inferred from context — her palace quarters; her exact spot is not stated.
10SK26,Nijō (Genji's villa),Fujitsubo's villa on Sanjō Avenue,"On the first anniversary of the late Emperor's death, ""on the day of the anniversary, heavy snow fell. Genji sent this poem to Fujitsubo"" (Washburn NC p. 212). Composition location inferred from context — his Nijō villa, where he kept his devotions; his spot is not stated.",Received by Fujitsubo at her family residence on Sanjō (Washburn NC p. 212).
10SK27,Fujitsubo's villa on Sanjō Avenue,Nijō (Genji's villa),Fujitsubo sends a reply from her Sanjō residence (Washburn NC p. 212).,Carried back to Genji. Receipt location inferred from context — his Nijō villa; his spot is not stated.
10SK28,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"After Fujitsubo stuns the assembly by taking vows at the close of the Eight Lectures, Genji, unable to speak freely, conveys this verse at her Sanjō residence (Washburn NC pp. 213–214).","Conveyed to Fujitsubo, where the rite was held; co-present."
10SK29,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"At Fujitsubo’s Sanjō residence, with Genji present, she replies, owning her lingering attachments — her words softened by her messenger (Washburn NC p. 214); co-present.","Conveyed to Genji, present at Fujitsubo's Sanjō residence; co-present."
10SK30,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"Visiting Fujitsubo's spare new nun's quarters after the New Year, Genji murmurs the verse (Washburn NC pp. 215–216).","Heard by Fujitsubo, near the curtain; co-present."
10SK31,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"At her Sanjō residence, Fujitsubo answers Genji in a subdued voice, the two together (Washburn NC p. 216); co-present.","Heard by Genji, present at Fujitsubo's Sanjō residence; co-present."
10SK32,Tō no Chūjō's residence,Tō no Chūjō's residence,"At the banquet two days after the rhyme contest, as Tō no Chūjō's son finishes ""Takasago,"" ""Tō no Chūjō offered a cup to Genji with this poem"" (Washburn NC pp. 218–219). Venue inferred from context — the banquet ""Tō no Chūjō sponsored"" two days after the contest at Genji's villa is not named (Washburn NC p. 218).","Heard by Genji, present; co-present."
10SK33,Tō no Chūjō's residence,Tō no Chūjō's residence,"Smiling, Genji takes the cup and answers, teasing that he is ""in decline"" (Washburn NC p. 219). Venue inferred from context — see 10SK32; the banquet is not named.","Heard by Tō no Chūjō, present; co-present."
11HC01,A woman's house at Nakagawa,A woman's house at Nakagawa,"Hearing a koto from a house he had once visited near the Nakagawa, Genji ""had his carriage backed up and . . . gave Koremitsu a poem and sent him in to make inquiries"" (Washburn NC p. 223).","Koremitsu ""presented his lord's message"" to the woman within; the younger women find it suspicious (Washburn NC p. 223)."
11HC02,A woman's house at Nakagawa,A woman's house at Nakagawa,"The woman, once the object of Genji's affections, ""replied"" with feigned uncertainty from within the house (Washburn NC p. 223).",Relayed by Koremitsu back to Genji at the gate; he takes his leave (Washburn NC p. 223).
11HC03,The Reikeiden Consort's villa,The Reikeiden Consort's villa,"Late at night at the villa, as a cuckoo calls and orange blossoms scent the air, Genji recites the verse to the former Reikeiden Consort (Washburn NC p. 224).","Heard by the Consort, present; co-present."
11HC04,The Reikeiden Consort's villa,The Reikeiden Consort's villa,"At the Reikeiden Consort’s villa, the Consort answers Genji in person with a single, deeply felt verse (Washburn NC p. 224); co-present.","Heard by Genji, present at the Reikeiden Consort's villa; co-present."
12SM01,The Sanjō estate (Princess Ōmiya's),The Sanjō estate (Princess Ōmiya's),"Genji ""had called at the Minister of the Left's residence"" and there, at dawn, ""whispered a poem that was not meant as a reply"" (Washburn NC pp. 227–228).","Saishō ""brought tidings from the Minister's wife, Princess Ōmiya,"" and ""Genji sent his reply to Princess Ōmiya"" in the same residence (Washburn NC p. 228)."
12SM02,The Sanjō estate (Princess Ōmiya's),The Sanjō estate (Princess Ōmiya's),"""Princess Ōmiya sent a poem in reply to his note,"" from the same residence (Washburn NC p. 228).","Conveyed to Genji, who had ""decided to stay over in his late wife's quarters"" there (Washburn NC p. 227)."
12SM03,Nijō (Genji's villa),Nijō (Genji's villa),"At the mirror stand Genji ""moved over to the mirror stand to arrange his hair"" and spoke the verse before Murasaki (Washburn NC p. 230). Location inferred from context — the scene is at Genji's villa, named ""his Nijō villa"" (NC p. 231); prefilled comp/receipt (Nijō Palace) agrees.","Murasaki present: ""Noticing the tears in Murasaki's eyes"" (Washburn NC p. 230). Location inferred from context (Nijō; prefilled receipt agrees)."
12SM04,Nijō (Genji's villa),Nijō (Genji's villa),"""Murasaki replied,"" in person (Washburn NC p. 230). Location inferred from context (Nijō, NC p. 231).","Heard by Genji, present: ""She tried to hide her tears from him by sitting behind a pillar"" (Washburn NC p. 230). Location inferred from context (Nijō)."
12SM05,The Reikeiden Consort's villa,The Reikeiden Consort's villa,"In ""her quarters on the west side of the villa,"" Hanachirusato ""moved outside her curtains and remained seated, looking up at the sky"" (Washburn NC pp. 230–231).","Genji present at the villa: ""They talked until the dawn approached"" (Washburn NC p. 231)."
12SM06,The Reikeiden Consort's villa,The Reikeiden Consort's villa,"Genji ""comforted her with his reply,"" in person at the villa (Washburn NC p. 231).","Heard by Hanachirusato, present; ""He departed as dawn broke"" (Washburn NC p. 231)."
12SM07,Nijō (Genji's villa),Indeterminate,"""Genji took the extraordinary step of communicating with Oborozukiyo"" by letter (Washburn NC pp. 231–232). Composition location inferred from context (Genji at his Nijō villa amid departure preparations, NC p. 231).","A letter, lest ""the letter might be discovered by the Kokiden faction""; her whereabouts are not stated (Washburn NC p. 232)."
12SM08,Indeterminate,Nijō (Genji's villa),"Her reply ""produced at a moment of great distress""; her location is not stated (Washburn NC p. 232).","Returned to Genji as part of the secret correspondence (Washburn NC p. 232). Receipt location inferred from context (Genji at Nijō, NC p. 231)."
12SM09,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"Genji went ""to call on Fujitsubo to take leave of her... seated right in front of her blinds, and she spoke to him directly"" (Washburn NC p. 232).","Genji present at her blinds: ""she spoke to him directly, with no intermediary"" (Washburn NC p. 232)."
12SM10,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"""Genji responded with a poem,"" in person at her blinds (Washburn NC p. 233).","Heard by Fujitsubo, present, in the same leave-taking (Washburn NC pp. 232–233)."
12SM11,The road by the Lower Kamo Shrine,The road by the Lower Kamo Shrine,"""Catching sight of the Lower Kamo Shrine in the distance,"" the Lesser Captain ""dismounted... and composed a verse"" (Washburn NC p. 233).",Composed to himself on the road (speaker = addressee) (Washburn NC p. 233).
12SM12,The Kamo Shrine,The Kamo Shrine,"Genji ""dismounted as well and, facing the Kamo Shrine, prayed for the blessings of the gods"" (Washburn NC p. 233).","Addressed to the gods of Tadasu Woods, before whom he stood (Washburn NC pp. 233–234)."
12SM13,The Retired Emperor's tomb (hills north of the capital),The Retired Emperor's tomb (hills north of the capital),"""When he arrived at the tomb in the hills,"" a vision of his father appeared and Genji composed (Washburn NC p. 234).",Composed inwardly at the tomb (speaker = addressee) (Washburn NC p. 234).
12SM14,Nijō (Genji's villa),The Crown Prince's quarters at the palace,"""Returning to his Nijō villa just after sunrise, he sent a note to the Crown Prince"" (Washburn NC p. 234).","Genji ""gave instructions that the letter be delivered to her [Ōmyōbu's] quarters""; ""The Crown Prince... read what Genji had written"" (Washburn NC p. 234)."
12SM15,The Crown Prince's quarters at the palace,Nijō (Genji's villa),"Ōmyōbu ""added her own reply to the Crown Prince's note"" from his quarters at the palace (Washburn NC p. 235).","Returned to Genji as part of ""the exchange of letters"" (Washburn NC p. 235). Receipt location inferred from context (Genji at Nijō, NC p. 234)."
12SM16,Nijō (Genji's villa),Nijō (Genji's villa),"On the departure night, Genji ""rolled up the blind and coaxed her out onto the veranda"" and recited (Washburn NC p. 236). Location inferred from context (Nijō, NC p. 231).","Murasaki present: ""Bathed in the moonlight, she looked beautiful beyond words"" (Washburn NC p. 236). Location inferred from context (Nijō)."
12SM17,Nijō (Genji's villa),Nijō (Genji's villa),"""Murasaki, however, responded as follows,"" in person (Washburn NC p. 236). Location inferred from context (Nijō; prefilled comp/receipt (Nijō Palace) agrees).","Heard by Genji, present: ""Knowing how she truly felt, Genji found it nearly impossible to leave her"" (Washburn NC p. 236). Location inferred from context (Nijō)."
12SM18,"On the journey to Suma (the ruined Ōe villa, Yodo River)","On the journey to Suma (the ruined Ōe villa, Yodo River)","On the journey, ""He viewed the site of the Ōe villa on the banks of the Yodo River"" and composed (Washburn NC p. 236).",Composed inwardly during the journey (speaker = addressee) (Washburn NC p. 236).
12SM19,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"Having ""managed to arrive at Suma,"" gazing back, ""he saw the mountains, obscure in the mist,"" and composed (Washburn NC pp. 236–237).",Composed inwardly at Suma (speaker = addressee) (Washburn NC p. 237).
12SM20,Suma (Genji's villa in exile),Fujitsubo's villa on Sanjō Avenue,"He ""dispatched messages to the capital... He wrote the following to Fujitsubo"" (Washburn NC p. 238). Composition location inferred from context (Genji at Suma, NC p. 237).","Carried to Fujitsubo, who sends a reply (12SM22) (Washburn NC pp. 238–239). Receipt location inferred from context (her residence, where Genji took leave of her at her blinds, NC p. 232)."
12SM21,Suma (Genji's villa in exile),Indeterminate,"Genji ""enclosed a private missive to her inside a letter addressed to her lady-in-waiting, Chūnagon"" (Washburn NC p. 238). Composition location inferred from context (Genji at Suma, NC p. 237).","Sent via Chūnagon, ""the attendant who had acted earlier as their go-between""; Oborozukiyo's location is not stated (Washburn NC p. 238)."
12SM22,Fujitsubo's villa on Sanjō Avenue,Suma (Genji's villa in exile),"Fujitsubo's ""reply to him was suffused with somewhat more emotion than usual"" (Washburn NC p. 239). Composition location inferred from context (her residence, NC p. 232).","Delivered to Genji in reply to his letter (Washburn NC pp. 238–239). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM23,Indeterminate,Suma (Genji's villa in exile),"""a brief reply and poem from Oborozukiyo,"" tucked inside Chūnagon's letter; her location is not stated (Washburn NC p. 239).","Genji read it: ""Some of the details touched Genji so deeply that he broke down and wept"" (Washburn NC p. 239). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM24,Nijō (Genji's villa),Suma (Genji's villa in exile),"""Murasaki sent a long reply to Genji's heartfelt letter"" (Washburn NC pp. 238–239). Composition location inferred from context (Nijō, where she remained, NC p. 231).","Delivered to Genji among his women's replies (Washburn NC p. 239). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM25,The Ise Shrine,Suma (Genji's villa in exile),"""Genji had sent a messenger to the Ise Shrine... and she had in turn... [dispatched] her own messenger"" (Washburn NC p. 239).","Genji read it: ""her letter arrived at a time when he was thinking nostalgically"" (Washburn NC pp. 240–241). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM26,The Ise Shrine,Suma (Genji's villa in exile),"Rokujō ""had attached a second poem"" to the same letter from Ise (Washburn NC p. 240).","Reached Genji with her first poem (Washburn NC pp. 240–241). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM27,Suma (Genji's villa in exile),The Ise Shrine,"""One can just imagine the words Genji used in composing his reply"" (Washburn NC p. 241). Composition location inferred from context (Genji at Suma, NC p. 237).","Sent to Rokujō, who is ""remaining here among the deities at this Shinto shrine"" at Ise (Washburn NC pp. 240–241)."
12SM28,Suma (Genji's villa in exile),The Ise Shrine,"Genji's second verse in the same reply (Washburn NC p. 241). Composition location inferred from context (Genji at Suma, NC p. 237).",Sent to Rokujō at the Ise Shrine (Washburn NC p. 241).
12SM29,The Reikeiden Consort's villa,Suma (Genji's villa in exile),"Hanachirusato, ""at the villa of the scattering orange blossoms,"" ""conveyed her feelings to him"" (Washburn NC p. 241).","Read by Genji ""in the rustic setting of Suma"" (Washburn NC p. 241)."
12SM30,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"Lying awake, Genji played his koto, then ""abruptly stopped and murmured the following poem"" (Washburn NC p. 243). Location inferred from context (Genji's villa at Suma, NC p. 237).","Soliloquy overheard: ""Hearing his poem, his attendants were startled awake"" (Washburn NC p. 243). Location inferred from context (Suma)."
12SM31,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"As geese crossed the evening sky, ""Genji composed a verse"" aloud (Washburn NC p. 244). Location inferred from context (Genji's villa at Suma, NC p. 237).","Heard by his companions, who respond in turn (Washburn NC p. 244). Location inferred from context (Suma)."
12SM32,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""Yoshikiyo responded,"" in person (Washburn NC p. 244). Location inferred from context (Suma).",Heard by those present (Washburn NC p. 244). Location inferred from context (Suma).
12SM33,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""Koremitsu also responded,"" in person (Washburn NC p. 244). Location inferred from context (Suma).",Heard by those present (Washburn NC p. 244). Location inferred from context (Suma).
12SM34,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"The Lesser Captain ""composed yet another poem,"" in person (Washburn NC p. 244). Location inferred from context (Suma).",Heard by those present (Washburn NC p. 244). Location inferred from context (Suma).
12SM35,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"On the fifteenth night, ""he could not bring himself to retire,"" and composed (Washburn NC pp. 244–245). Location inferred from context (Suma, NC p. 237).",Composed inwardly (speaker = addressee) (Washburn NC p. 245). Location inferred from context (Suma).
12SM36,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"Recalling Suzaku and Michizane's line, Genji composed again (Washburn NC p. 245). Location inferred from context (Suma, NC p. 237).",Composed inwardly (speaker = addressee) (Washburn NC p. 245). Location inferred from context (Suma).
12SM37,The Gosechi dancer's barge (passing Suma),Suma (Genji's villa in exile),"As ""the boat was being towed past Suma,"" the former Gosechi dancer ""contrived to get a note off to Genji"" (Washburn NC pp. 245–246).","Genji read it: ""Genji read this with a wry smile"" (Washburn NC p. 246). Receipt location inferred from context (Genji at Suma, NC p. 237)."
12SM38,Suma (Genji's villa in exile),The Gosechi dancer's barge (passing Suma),"""Genji read this with a wry smile"" and replied (Washburn NC p. 246). Composition location inferred from context (Genji at Suma, NC p. 237).","Sent back to the barge ""towed past Suma"": ""Having received such an elegant reply, the Gosechi dancer was thrilled"" (Washburn NC pp. 245–246)."
12SM39,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"Seeing smoke ""quite near his villa,"" ""It was all such a marvel to him that he composed a poem"" (Washburn NC p. 247).",Composed inwardly at his villa (speaker = addressee) (Washburn NC p. 247).
12SM40,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""Bright moonlight was streaming in, illuminating every corner of Genji's humble, temporary lodgings""; he composed (Washburn NC p. 248).","Speaker = addressee, composed inwardly at his Suma lodgings — “He intoned this verse to himself” (Washburn NC p. 248)."
12SM41,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"At dawn, plovers crying, ""he lay there murmuring the following poem over and over to himself"" at his lodging (Washburn NC p. 248).",Composed inwardly at his lodging (speaker = addressee) (Washburn NC p. 248).
12SM42,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""The young cherry trees Genji had planted after arriving in Suma were putting forth blossoms""; recalling the Shishinden, he composed (Washburn NC pp. 249–250).",Composed inwardly at Suma (speaker = addressee) (Washburn NC p. 250).
12SM43,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"During Tō no Chūjō's visit, at ""the villa at Suma,"" ""A formation of wild geese flew across... Genji composed the following"" (Washburn NC pp. 250–251).","Heard by Tō no Chūjō, present at the Suma villa (Washburn NC p. 251)."
12SM44,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""Tō no Chūjō could hardly bring himself to leave,"" and answered, at the Suma villa (Washburn NC p. 251).","Heard by Genji, present (Washburn NC p. 251)."
12SM45,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"At the parting at the Suma villa, ""Genji replied with a poem"" (Washburn NC p. 252).","Heard by Tō no Chūjō, present (Washburn NC p. 252)."
12SM46,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"""Tō no Chūjō answered with a verse of his own,"" at the Suma villa (Washburn NC p. 252).","Heard by Genji, present: ""his departure left such a void that Genji spent the rest of the day"" there (Washburn NC p. 252)."
12SM47,The shore at Suma (the purification site),The shore at Suma (the purification site),"""Genji, who had wanted to go view the shore in any case, headed down to the sea""; watching the purification doll, ""Watching it float away,"" he composed (Washburn NC p. 252).",Composed inwardly at the shore (speaker = addressee) (Washburn NC p. 252).
12SM48,The shore at Suma (the purification site),The shore at Suma (the purification site),"""Sitting in the midst of the bright, cheerful scenery... he composed another poem"" at the shore (Washburn NC p. 252).",Composed inwardly at the shore (speaker = addressee) (Washburn NC p. 252).
13AK01,Nijō (Genji's villa),Suma (Genji's villa in exile),"Murasaki's letter is carried by ""a messenger from his Nijō villa"" — ""The man carried a letter from Murasaki"" (Washburn NC p. 254); composed at Nijō, whence the messenger came.","Read by Genji in the storm at Suma: ""After opening her letter, his mood turned to dark despair"" (Washburn NC p. 254); the man reports the conditions ""here at Suma"" (Washburn NC pp. 254–255)."
13AK02,Suma (Genji's villa in exile),Suma (Genji's villa in exile),"After the storm, ""he gazed off toward the shore at the roiling surf left in the wake of the storm""; ""Feeling forlorn, he composed a verse"" (Washburn NC p. 256).",Speaker = addressee (composed inwardly).
13AK03,The Akashi villa (Genji's seaside residence),Nijō (Genji's villa),"After ""Genji had settled in"" at the Akashi villa, ""he wrote several letters to people in the capital,"" his reply to Murasaki among them (Washburn NC pp. 259–260).",Sent to Murasaki in the capital. Receipt location inferred from context — her Nijō villa; the text does not show her receiving this letter.
13AK04,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence),"At his seaside residence, ""Before his eyes, off in the distance, was the island of Awaji""; he murmurs the verse, then plays a koto that ""wafted toward the lady's residence at the foot of the hill"" (Washburn NC pp. 261–262).",Speaker = addressee (composed inwardly).
13AK05,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence),"The novitiate ""hurried over to Genji's residence"" (Washburn NC p. 262) and speaks the verse in person, naming ""the dawn on Akashi's lonely strand"" (Washburn NC p. 264).","Heard by Genji, present at the Akashi villa; co-present."
13AK06,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence),"Genji answers in person, ""In lonely travel robes . . . I wait in sleepless grief for dawn at Akashi"" (Washburn NC p. 265).","Heard by the novitiate, present at the Akashi villa; co-present."
13AK07,The Akashi villa (Genji's seaside residence),The Akashi Lady's villa (foot of the hills),"""At around noon the following day, Genji sent a letter to the lady's residence at the base of the hill,"" written on light brown Korean paper (Washburn NC p. 265).","Carried to the Lady's villa, where the novitiate ""had already arrived at his daughter's residence and was waiting"" when ""the letter arrived"" (Washburn NC p. 265)."
13AK08,The Akashi Lady's villa (foot of the hills),The Akashi villa (Genji's seaside residence),"The Lady refusing to answer, ""the novitiate wrote the reply for her"" at her residence (Washburn NC pp. 265–266).","Carried back to Genji, who was ""a little surprised, shocked even, at the seductive allure of the calligraphy"" at his seaside villa (Washburn NC p. 266)."
13AK09,The Akashi villa (Genji's seaside residence),The Akashi Lady's villa (foot of the hills),"From his Akashi villa, “The following day Genji sent another note,” on extremely soft, thin paper (Washburn NC p. 266).","Read at the Lady's villa — ""when the Akashi lady saw it, she was amazed"" (Washburn NC p. 266)."
13AK10,The Akashi Lady's villa (foot of the hills),The Akashi villa (Genji's seaside residence),"This time the Lady ""did as she was told and replied,"" writing ""on heavily perfumed paper of light purple hue"" at her villa (Washburn NC p. 266).","Carried back to Genji, who ""regarded the lady's letter with delight"" at his seaside villa (Washburn NC pp. 266–267)."
13AK11,The road at Akashi (en route to the Lady's villa),The road at Akashi (en route to the Lady's villa),"Riding to the villa, ""From the road he could see all around the shore""; brought to mind of Murasaki, ""Instinctively, he muttered a poem to himself"" (Washburn NC p. 269).",Speaker = addressee (composed inwardly).
13AK12,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"At the Lady's villa a koto-string sounds; Genji recites, ""asking her this and many other things besides, all trying to persuade her to play"" (Washburn NC p. 270).","Heard by the Akashi Lady, present; co-present."
13AK13,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"The Lady replies in person at her villa: ""She replied"" (Washburn NC p. 270).","Heard by Genji, present at the Akashi Lady's villa; co-present."
13AK14,The Akashi villa (Genji's seaside residence),Nijō (Genji's villa),"Genji ""was prompted to send Murasaki a letter that was longer and more detailed than usual,"" adding the verse (Washburn NC p. 271). Composition location inferred from context — his Akashi seaside villa; his spot is not stated at the letter.","Read by Murasaki ""back at the Nijō villa"" (Washburn NC p. 272); her reply follows (Washburn NC p. 271)."
13AK15,Nijō (Genji's villa),The Akashi villa (Genji's seaside residence),"""Murasaki's reply was innocent and sweet,"" written from the Nijō villa, where she ""began to draw paintings"" (Washburn NC pp. 271–272).","Genji ""read it over and over, unable to put it down"" (Washburn NC p. 271). Receipt location inferred from context — his Akashi seaside villa; his spot is not stated at the receipt."
13AK16,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"Two days before departure, at the Lady's villa, ""Genji whispered a poem"" (Washburn NC p. 274).","Heard by the Akashi Lady, present; co-present."
13AK17,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"""The Akashi lady replied"" in person at her villa (Washburn NC p. 274).","Heard by Genji, present at the Akashi Lady's villa; co-present."
13AK18,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"After Genji asks her to play ""one song on the koto . . . as a keepsake,"" the Lady ""replied in an almost inaudible whisper"" at her villa (Washburn NC p. 274).","Heard by Genji, present at the Akashi Lady's villa; co-present."
13AK19,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills),"Genji answers in person — ""Would that our relationship remain in tune / Like the middle string of this koto I leave"" — promising they will meet again (Washburn NC p. 274).","Heard by the Akashi Lady, present; co-present."
13AK20,Akashi (Genji's departure for the capital),The Akashi Lady's villa (foot of the hills),"On the departure morning, having ""left the Akashi lady's quarters while it was still dark,"" Genji ""found an opportunity . . . to send her a poem"" (Washburn NC p. 275).","Carried to the Lady at her villa; ""She replied"" (Washburn NC p. 275)."
13AK21,The Akashi Lady's villa (foot of the hills),Akashi (Genji's departure for the capital),"The Lady ""replied"" from her villa (Washburn NC p. 275).","Carried to Genji at the departure: ""He recognized that she was writing exactly what she felt . . . tears streamed from his eyes"" (Washburn NC p. 275)."
13AK22,The Akashi Lady's villa (foot of the hills),Akashi (Genji's departure for the capital),"A poem from the Lady ""had been attached to the hunting robes her father presented to Genji for the journey"" (Washburn NC p. 275) — composed at her villa.","Conveyed to Genji at the departure, who ""managed to compose this reply"" (Washburn NC p. 275)."
13AK23,Akashi (Genji's departure for the capital),The Akashi Lady's villa (foot of the hills),"At the departure, ""Despite all the commotion around him, Genji managed to compose this reply"" (Washburn NC p. 275).","Conveyed to the Lady with the robes: Genji ""in return gave her the robes he had been wearing"" (Washburn NC p. 275)."
13AK24,Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital),"Seeing Genji off at the departure, ""The old man composed a poem"" (Washburn NC p. 276).","Heard by Genji, present at Akashi; co-present."
13AK25,Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital),Genji answers the novitiate in person at the departure (Washburn NC p. 276).,"Heard by the novitiate, present at Akashi; co-present."
13AK26,The palace (Genji's audience with Suzaku),The palace (Genji's audience with Suzaku),"""A summons from Suzaku arrived, and Genji went to the palace"" (Washburn NC p. 278); conversing with Suzaku, ""Genji responded with a poem"" (Washburn NC p. 278).","Heard by Suzaku, present at the palace; co-present."
13AK27,The palace (Genji's audience with Suzaku),The palace (Genji's audience with Suzaku),"Suzaku replies in person, ""Now that we have gone around the sacred pillars / To meet once again"" (Washburn NC p. 278).","Heard by Genji, present at the palace; co-present."
13AK28,Nijō (Genji's villa),The Akashi Lady's villa (foot of the hills),"Back in the capital, ""he sent a letter to the Akashi lady . . . keeping the letter hidden from Murasaki"" (Washburn NC p. 279) — written at his Nijō villa.","To be ""delivered by the novitiate's men . . . heading back to their province"" (Washburn NC p. 279). Receipt location inferred from context — the Akashi Lady's villa; her receipt is not shown."
